Format Version,1.23,Take Name,Apr17_Sand_No_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.50.51.250 PM,Capture Start Frame,7896456,Total Frames in Take,21876,Total Exported Frames,21876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
20546,171.217000,-0.001287,0.014827,-0.008554,0.999853,0.355657,-0.028954,0.304486,0.350029,-0.027323,0.254503,0.347775,-0.030117,0.315723,0.369167,-0.029424,0.343231,-0.016823,0.015257,-0.000750,0.999742,0.134378,-0.068510,0.294830,0.109206,-0.055630,0.287928,0.148621,-0.075140,0.261885,0.145306,-0.074760,0.334677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350033,-0.027324,0.254547,0.347842,-0.030114,0.315786,0.369054,-0.029427,0.343061,0.109345,-0.055701,0.287932,0.148514,-0.075090,0.262113,0.145272,-0.074739,0.334505
20547,171.225000,-0.001703,0.014907,-0.008592,0.999851,0.355636,-0.028941,0.304477,0.350000,-0.027350,0.254494,0.347756,-0.030094,0.315717,0.369152,-0.029379,0.343220,-0.016768,0.015397,-0.000702,0.999741,0.134394,-0.068530,0.294812,0.109219,-0.055652,0.287919,0.148629,-0.075155,0.261862,0.145334,-0.074784,0.334655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350006,-0.027352,0.254548,0.347822,-0.030090,0.315778,0.369037,-0.029382,0.343036,0.109360,-0.055724,0.287899,0.148499,-0.075094,0.262109,0.145310,-0.074769,0.334504
20548,171.233000,-0.001257,0.014894,-0.007927,0.999857,0.355644,-0.028951,0.304477,0.350007,-0.027322,0.254496,0.347765,-0.030124,0.315716,0.369159,-0.029406,0.343220,-0.016708,0.015539,-0.000272,0.999740,0.134365,-0.068518,0.294837,0.109177,-0.055661,0.287953,0.148596,-0.075127,0.261882,0.145323,-0.074768,0.334676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350009,-0.027324,0.254546,0.347835,-0.030120,0.315769,0.369045,-0.029409,0.343057,0.109291,-0.055719,0.287954,0.148504,-0.075084,0.262111,0.145296,-0.074751,0.334504
20549,171.242000,-0.001349,0.014904,-0.007696,0.999858,0.355648,-0.028951,0.304479,0.350010,-0.027333,0.254497,0.347770,-0.030125,0.315719,0.369165,-0.029393,0.343222,-0.016865,0.015350,-0.000670,0.999740,0.134385,-0.068519,0.294826,0.109210,-0.055644,0.287928,0.148623,-0.075149,0.261879,0.145322,-0.074764,0.334671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350012,-0.027335,0.254547,0.347843,-0.030121,0.315778,0.369045,-0.029397,0.343047,0.109341,-0.055710,0.287916,0.148509,-0.075096,0.262119,0.145297,-0.074748,0.334512
20550,171.250000,-0.001337,0.014736,-0.007569,0.999862,0.355659,-0.028956,0.304482,0.350037,-0.027338,0.254498,0.347778,-0.030133,0.315718,0.369163,-0.029396,0.343229,-0.016860,0.015414,-0.000533,0.999739,0.134378,-0.068500,0.294838,0.109198,-0.055632,0.287943,0.148614,-0.075126,0.261889,0.145322,-0.074743,0.334682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350040,-0.027340,0.254544,0.347854,-0.030129,0.315787,0.369034,-0.029399,0.343043,0.109314,-0.055690,0.287953,0.148528,-0.075086,0.262113,0.145291,-0.074724,0.334501
20551,171.258000,-0.001481,0.014926,-0.008496,0.999851,0.355640,-0.028934,0.304476,0.350002,-0.027322,0.254493,0.347761,-0.030093,0.315715,0.369157,-0.029387,0.343218,-0.017088,0.015457,-0.000991,0.999734,0.134378,-0.068499,0.294812,0.109210,-0.055611,0.287913,0.148606,-0.075153,0.261864,0.145320,-0.074733,0.334657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350006,-0.027324,0.254545,0.347826,-0.030089,0.315769,0.369048,-0.029390,0.343051,0.109329,-0.055671,0.287904,0.148502,-0.075105,0.262102,0.145296,-0.074718,0.334496
20552,171.267000,-0.001511,0.014779,-0.009117,0.999848,0.355640,-0.028944,0.304478,0.350018,-0.027329,0.254494,0.347756,-0.030092,0.315716,0.369145,-0.029410,0.343225,-0.016509,0.015463,-0.000899,0.999744,0.134391,-0.068502,0.294830,0.109220,-0.055610,0.287947,0.148619,-0.075116,0.261875,0.145334,-0.074780,0.334669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350023,-0.027331,0.254550,0.347825,-0.030089,0.315775,0.369027,-0.029413,0.343040,0.109338,-0.055670,0.287951,0.148527,-0.075073,0.262099,0.145305,-0.074762,0.334498
20553,171.275000,-0.001527,0.014781,-0.008361,0.999855,0.355644,-0.028942,0.304478,0.350020,-0.027336,0.254494,0.347762,-0.030102,0.315715,0.369151,-0.029388,0.343224,-0.016775,0.015286,-0.000830,0.999742,0.134382,-0.068519,0.294833,0.109212,-0.055635,0.287934,0.148623,-0.075148,0.261887,0.145312,-0.074775,0.334679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350025,-0.027338,0.254542,0.347828,-0.030100,0.315777,0.369038,-0.029390,0.343046,0.109350,-0.055704,0.287926,0.148507,-0.075093,0.262119,0.145284,-0.074757,0.334522
20554,171.283000,-0.001521,0.014770,-0.007362,0.999863,0.355643,-0.028947,0.304485,0.350016,-0.027350,0.254501,0.347763,-0.030123,0.315723,0.369149,-0.029367,0.343232,-0.016960,0.015345,-0.001124,0.999738,0.134385,-0.068526,0.294828,0.109221,-0.055629,0.287927,0.148618,-0.075176,0.261883,0.145315,-0.074773,0.334675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350019,-0.027352,0.254548,0.347829,-0.030120,0.315775,0.369043,-0.029370,0.343077,0.109341,-0.055690,0.287929,0.148524,-0.075132,0.262100,0.145287,-0.074755,0.334512
20555,171.292000,-0.001274,0.014738,-0.007424,0.999863,0.355650,-0.028939,0.304481,0.350027,-0.027317,0.254497,0.347769,-0.030120,0.315717,0.369154,-0.029380,0.343228,-0.016552,0.015294,-0.000712,0.999746,0.134389,-0.068518,0.294830,0.109215,-0.055637,0.287937,0.148630,-0.075129,0.261880,0.145321,-0.074789,0.334673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350028,-0.027319,0.254545,0.347847,-0.030115,0.315781,0.369024,-0.029385,0.343046,0.109338,-0.055699,0.287939,0.148533,-0.075084,0.262111,0.145292,-0.074772,0.334501
20556,171.300000,-0.001336,0.014788,-0.007100,0.999865,0.355652,-0.028912,0.304481,0.350023,-0.027299,0.254497,0.347773,-0.030097,0.315718,0.369160,-0.029340,0.343227,-0.016922,0.015445,-0.000966,0.999737,0.134369,-0.068503,0.294820,0.109200,-0.055614,0.287925,0.148598,-0.075146,0.261871,0.145310,-0.074750,0.334664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350032,-0.027300,0.254546,0.347832,-0.030095,0.315788,0.369050,-0.029342,0.343036,0.109326,-0.055678,0.287910,0.148483,-0.075092,0.262120,0.145287,-0.074736,0.334505
20557,171.308000,-0.001459,0.014902,-0.007935,0.999856,0.355643,-0.028927,0.304479,0.350006,-0.027319,0.254496,0.347765,-0.030096,0.315718,0.369160,-0.029368,0.343222,-0.017049,0.015405,-0.000974,0.999736,0.134388,-0.068525,0.294829,0.109219,-0.055637,0.287929,0.148619,-0.075176,0.261883,0.145325,-0.074761,0.334675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350010,-0.027320,0.254547,0.347832,-0.030092,0.315777,0.369046,-0.029371,0.343047,0.109343,-0.055700,0.287932,0.148523,-0.075131,0.262114,0.145295,-0.074743,0.334500
20558,171.317000,-0.001355,0.014825,-0.007993,0.999857,0.355644,-0.028956,0.304483,0.350014,-0.027336,0.254500,0.347763,-0.030126,0.315721,0.369154,-0.029406,0.343228,-0.016848,0.015363,-0.000855,0.999740,0.134382,-0.068515,0.294847,0.109211,-0.055630,0.287949,0.148617,-0.075149,0.261899,0.145318,-0.074765,0.334691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350017,-0.027338,0.254547,0.347832,-0.030122,0.315778,0.369040,-0.029408,0.343061,0.109344,-0.055697,0.287953,0.148516,-0.075102,0.262121,0.145285,-0.074746,0.334524
20559,171.325000,-0.001367,0.014944,-0.008651,0.999850,0.355637,-0.028944,0.304472,0.349998,-0.027319,0.254491,0.347758,-0.030103,0.315712,0.369156,-0.029410,0.343214,-0.016785,0.015094,-0.001027,0.999745,0.134400,-0.068494,0.294812,0.109238,-0.055600,0.287903,0.148651,-0.075130,0.261872,0.145312,-0.074753,0.334662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349999,-0.027321,0.254536,0.347826,-0.030100,0.315766,0.369047,-0.029413,0.343059,0.109370,-0.055668,0.287893,0.148537,-0.075076,0.262113,0.145286,-0.074737,0.334500
20560,171.333000,-0.001651,0.014722,-0.008722,0.999852,0.355649,-0.028941,0.304482,0.350031,-0.027344,0.254497,0.347764,-0.030092,0.315719,0.369150,-0.029386,0.343230,-0.016673,0.015085,-0.000544,0.999747,0.134399,-0.068501,0.294827,0.109224,-0.055629,0.287920,0.148656,-0.075115,0.261884,0.145317,-0.074759,0.334675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350039,-0.027345,0.254545,0.347830,-0.030090,0.315790,0.369033,-0.029388,0.343037,0.109353,-0.055695,0.287918,0.148551,-0.075066,0.262118,0.145288,-0.074741,0.334508
20561,171.342000,-0.001423,0.014792,-0.007394,0.999862,0.355652,-0.028914,0.304479,0.350024,-0.027307,0.254496,0.347773,-0.030092,0.315717,0.369161,-0.029343,0.343225,-0.016890,0.015207,-0.001035,0.999741,0.134399,-0.068506,0.294821,0.109235,-0.055613,0.287914,0.148642,-0.075148,0.261878,0.145320,-0.074756,0.334670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350029,-0.027309,0.254548,0.347838,-0.030090,0.315776,0.369049,-0.029345,0.343050,0.109374,-0.055683,0.287899,0.148517,-0.075089,0.262133,0.145294,-0.074740,0.334507
20562,171.350000,-0.001525,0.014791,-0.008184,0.999856,0.355635,-0.028949,0.304474,0.350010,-0.027345,0.254490,0.347754,-0.030112,0.315711,0.369143,-0.029391,0.343220,-0.016733,0.015273,-0.000746,0.999743,0.134390,-0.068507,0.294821,0.109217,-0.055626,0.287923,0.148632,-0.075130,0.261874,0.145320,-0.074764,0.334666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350020,-0.027346,0.254542,0.347804,-0.030110,0.315772,0.369047,-0.029392,0.343040,0.109346,-0.055691,0.287919,0.148526,-0.075081,0.262115,0.145292,-0.074746,0.334495
20563,171.358000,-0.001337,0.014731,-0.007953,0.999859,0.355638,-0.028937,0.304476,0.350018,-0.027316,0.254492,0.347756,-0.030108,0.315713,0.369141,-0.029387,0.343224,-0.016825,0.015257,-0.000770,0.999742,0.134389,-0.068526,0.294820,0.109217,-0.055646,0.287919,0.148632,-0.075157,0.261875,0.145317,-0.074777,0.334667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350024,-0.027318,0.254542,0.347818,-0.030106,0.315772,0.369034,-0.029389,0.343051,0.109345,-0.055710,0.287921,0.148532,-0.075110,0.262106,0.145287,-0.074758,0.334495
20564,171.367000,-0.001392,0.014840,-0.009141,0.999847,0.355642,-0.028954,0.304472,0.350014,-0.027326,0.254489,0.347759,-0.030104,0.315710,0.369152,-0.029430,0.343217,-0.016853,0.015179,-0.000798,0.999742,0.134380,-0.068522,0.294827,0.109210,-0.055640,0.287920,0.148628,-0.075155,0.261884,0.145302,-0.074770,0.334675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350017,-0.027328,0.254541,0.347833,-0.030100,0.315769,0.369029,-0.029434,0.343039,0.109363,-0.055717,0.287916,0.148506,-0.075097,0.262111,0.145268,-0.074750,0.334518
20565,171.375000,-0.001321,0.014946,-0.007495,0.999859,0.355646,-0.028920,0.304469,0.350002,-0.027301,0.254487,0.347769,-0.030098,0.315708,0.369166,-0.029359,0.343210,-0.016820,0.015298,-0.000892,0.999741,0.134392,-0.068524,0.294813,0.109223,-0.055637,0.287914,0.148631,-0.075157,0.261867,0.145322,-0.074777,0.334659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350010,-0.027302,0.254535,0.347825,-0.030097,0.315768,0.369066,-0.029360,0.343040,0.109350,-0.055701,0.287900,0.148518,-0.075105,0.262105,0.145298,-0.074762,0.334504
20566,171.383000,-0.001405,0.014704,-0.008472,0.999855,0.355645,-0.028932,0.304492,0.350029,-0.027313,0.254507,0.347761,-0.030093,0.315728,0.369146,-0.029391,0.343240,-0.016755,0.015154,-0.000355,0.999745,0.134402,-0.068504,0.294822,0.109221,-0.055643,0.287917,0.148657,-0.075117,0.261878,0.145328,-0.074751,0.334670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350034,-0.027315,0.254558,0.347825,-0.030089,0.315784,0.369037,-0.029394,0.343070,0.109367,-0.055717,0.287919,0.148545,-0.075064,0.262109,0.145293,-0.074730,0.334500
20567,171.392000,-0.001429,0.014905,-0.008425,0.999852,0.355646,-0.028922,0.304481,0.350009,-0.027305,0.254499,0.347766,-0.030083,0.315720,0.369162,-0.029377,0.343224,-0.016589,0.015178,-0.000585,0.999747,0.134393,-0.068502,0.294829,0.109218,-0.055628,0.287930,0.148644,-0.075112,0.261883,0.145318,-0.074768,0.334675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350012,-0.027307,0.254542,0.347836,-0.030080,0.315783,0.369046,-0.029380,0.343056,0.109343,-0.055691,0.287925,0.148539,-0.075063,0.262113,0.145291,-0.074751,0.334513
20568,171.400000,-0.001361,0.014710,-0.008153,0.999858,0.355643,-0.028925,0.304476,0.350025,-0.027304,0.254491,0.347760,-0.030092,0.315712,0.369144,-0.029378,0.343224,-0.016799,0.015205,-0.000790,0.999743,0.134388,-0.068509,0.294827,0.109218,-0.055627,0.287923,0.148635,-0.075138,0.261883,0.145312,-0.074762,0.334674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350031,-0.027306,0.254543,0.347822,-0.030089,0.315768,0.369038,-0.029380,0.343054,0.109353,-0.055695,0.287922,0.148526,-0.075088,0.262122,0.145281,-0.074743,0.334501
20569,171.408000,-0.001419,0.014801,-0.008096,0.999857,0.355630,-0.028927,0.304467,0.350003,-0.027313,0.254483,0.347749,-0.030094,0.315704,0.369138,-0.029374,0.343212,-0.016834,0.015373,-0.000291,0.999740,0.134359,-0.068505,0.294829,0.109173,-0.055649,0.287933,0.148600,-0.075122,0.261880,0.145303,-0.074745,0.334673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350010,-0.027314,0.254539,0.347810,-0.030091,0.315761,0.369032,-0.029376,0.343035,0.109287,-0.055706,0.287931,0.148507,-0.075079,0.262102,0.145278,-0.074729,0.334513
20570,171.417000,-0.001408,0.014830,-0.007679,0.999860,0.355646,-0.028914,0.304468,0.350015,-0.027303,0.254485,0.347767,-0.030088,0.315706,0.369157,-0.029352,0.343213,-0.017066,0.015406,-0.000783,0.999735,0.134385,-0.068499,0.294820,0.109212,-0.055621,0.287919,0.148619,-0.075146,0.261874,0.145326,-0.074731,0.334666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350019,-0.027305,0.254534,0.347836,-0.030085,0.315770,0.369039,-0.029355,0.343032,0.109354,-0.055693,0.287920,0.148506,-0.075093,0.262114,0.145292,-0.074711,0.334491
20571,171.425000,-0.001346,0.014782,-0.007907,0.999859,0.355644,-0.028916,0.304478,0.350018,-0.027296,0.254495,0.347762,-0.030087,0.315716,0.369150,-0.029364,0.343224,-0.016977,0.015487,-0.001157,0.999735,0.134376,-0.068516,0.294827,0.109211,-0.055618,0.287932,0.148599,-0.075168,0.261878,0.145317,-0.074762,0.334671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350019,-0.027298,0.254537,0.347835,-0.030083,0.315777,0.369033,-0.029368,0.343058,0.109315,-0.055670,0.287933,0.148515,-0.075129,0.262098,0.145293,-0.074747,0.334506
20572,171.433000,-0.001538,0.014717,-0.008811,0.999852,0.355647,-0.028919,0.304471,0.350031,-0.027309,0.254486,0.347762,-0.030071,0.315707,0.369148,-0.029375,0.343219,-0.017172,0.015283,-0.000675,0.999736,0.134373,-0.068523,0.294816,0.109198,-0.055652,0.287907,0.148615,-0.075173,0.261875,0.145304,-0.074743,0.334667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350037,-0.027311,0.254539,0.347822,-0.030068,0.315765,0.369043,-0.029377,0.343043,0.109310,-0.055708,0.287902,0.148520,-0.075129,0.262105,0.145281,-0.074729,0.334505
20573,171.442000,-0.001474,0.014812,-0.008522,0.999853,0.355649,-0.028936,0.304474,0.350022,-0.027323,0.254490,0.347767,-0.030094,0.315712,0.369158,-0.029390,0.343219,-0.016989,0.015256,-0.000640,0.999739,0.134365,-0.068501,0.294828,0.109190,-0.055629,0.287922,0.148610,-0.075138,0.261885,0.145295,-0.074735,0.334677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350025,-0.027324,0.254536,0.347837,-0.030091,0.315772,0.369042,-0.029392,0.343051,0.109296,-0.055683,0.287925,0.148525,-0.075099,0.262109,0.145270,-0.074720,0.334505
20574,171.450000,-0.001491,0.014816,-0.008315,0.999855,0.355648,-0.028930,0.304470,0.350020,-0.027321,0.254487,0.347766,-0.030092,0.315708,0.369157,-0.029378,0.343215,-0.016867,0.015259,-0.000597,0.999741,0.134388,-0.068498,0.294825,0.109212,-0.055627,0.287922,0.148633,-0.075126,0.261880,0.145319,-0.074742,0.334672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350029,-0.027323,0.254536,0.347825,-0.030090,0.315776,0.369049,-0.029380,0.343028,0.109357,-0.055700,0.287922,0.148520,-0.075073,0.262108,0.145285,-0.074722,0.334506
20575,171.458000,-0.001181,0.014843,-0.007230,0.999863,0.355654,-0.028922,0.304488,0.350020,-0.027293,0.254506,0.347775,-0.030108,0.315726,0.369166,-0.029366,0.343233,-0.016967,0.015339,-0.000856,0.999738,0.134386,-0.068501,0.294831,0.109215,-0.055618,0.287930,0.148623,-0.075143,0.261886,0.145320,-0.074741,0.334678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350024,-0.027294,0.254552,0.347844,-0.030105,0.315789,0.369051,-0.029368,0.343060,0.109362,-0.055692,0.287923,0.148502,-0.075086,0.262119,0.145288,-0.074722,0.334518
20576,171.467000,-0.001547,0.014712,-0.007792,0.999860,0.355640,-0.028915,0.304475,0.350021,-0.027317,0.254490,0.347758,-0.030084,0.315711,0.369142,-0.029345,0.343223,-0.017122,0.015551,-0.000454,0.999732,0.134368,-0.068512,0.294813,0.109184,-0.055652,0.287919,0.148596,-0.075153,0.261863,0.145324,-0.074732,0.334657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350031,-0.027318,0.254546,0.347809,-0.030081,0.315768,0.369047,-0.029346,0.343046,0.109333,-0.055727,0.287914,0.148475,-0.075096,0.262101,0.145291,-0.074713,0.334491
20577,171.475000,-0.001495,0.014916,-0.008084,0.999855,0.355639,-0.028928,0.304476,0.350000,-0.027321,0.254493,0.347761,-0.030093,0.315715,0.369156,-0.029369,0.343218,-0.017097,0.015290,-0.000979,0.999736,0.134372,-0.068501,0.294827,0.109205,-0.055614,0.287920,0.148610,-0.075155,0.261885,0.145300,-0.074734,0.334677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350002,-0.027323,0.254544,0.347831,-0.030089,0.315769,0.369041,-0.029372,0.343052,0.109317,-0.055671,0.287921,0.148520,-0.075114,0.262115,0.145274,-0.074718,0.334505
20578,171.483000,-0.001593,0.014814,-0.008422,0.999854,0.355629,-0.028931,0.304474,0.350002,-0.027331,0.254490,0.347748,-0.030089,0.315712,0.369138,-0.029373,0.343220,-0.016915,0.015228,-0.000366,0.999741,0.134372,-0.068518,0.294821,0.109190,-0.055659,0.287916,0.148622,-0.075142,0.261877,0.145304,-0.074753,0.334669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350011,-0.027332,0.254549,0.347802,-0.030086,0.315769,0.369038,-0.029374,0.343038,0.109321,-0.055725,0.287921,0.148524,-0.075096,0.262091,0.145270,-0.074733,0.334504
20579,171.492000,-0.001403,0.014780,-0.007407,0.999862,0.355644,-0.028925,0.304471,0.350017,-0.027316,0.254488,0.347764,-0.030103,0.315708,0.369151,-0.029356,0.343217,-0.016879,0.015247,-0.000880,0.999741,0.134386,-0.068530,0.294836,0.109217,-0.055644,0.287932,0.148629,-0.075167,0.261892,0.145312,-0.074778,0.334684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350027,-0.027317,0.254541,0.347818,-0.030101,0.315769,0.369052,-0.029356,0.343036,0.109337,-0.055705,0.287921,0.148523,-0.075118,0.262125,0.145289,-0.074763,0.334529
20580,171.500000,-0.001287,0.014776,-0.008757,0.999852,0.355642,-0.028941,0.304491,0.350020,-0.027307,0.254508,0.347759,-0.030100,0.315728,0.369148,-0.029415,0.343237,-0.016721,0.015355,-0.000612,0.999742,0.134386,-0.068526,0.294817,0.109209,-0.055652,0.287923,0.148624,-0.075145,0.261867,0.145324,-0.074782,0.334660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350027,-0.027308,0.254557,0.347819,-0.030096,0.315788,0.369042,-0.029418,0.343064,0.109350,-0.055724,0.287908,0.148499,-0.075086,0.262124,0.145297,-0.074765,0.334494
20581,171.508000,-0.001170,0.014833,-0.007898,0.999858,0.355641,-0.028949,0.304476,0.350011,-0.027312,0.254494,0.347761,-0.030124,0.315714,0.369152,-0.029411,0.343221,-0.016961,0.015204,-0.000507,0.999740,0.134374,-0.068513,0.294835,0.109196,-0.055647,0.287928,0.148623,-0.075144,0.261893,0.145302,-0.074747,0.334685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350016,-0.027313,0.254547,0.347829,-0.030122,0.315773,0.369036,-0.029412,0.343040,0.109333,-0.055717,0.287932,0.148519,-0.075096,0.262118,0.145267,-0.074726,0.334513
20582,171.517000,-0.001549,0.014784,-0.008952,0.999849,0.355638,-0.028930,0.304486,0.350015,-0.027320,0.254502,0.347755,-0.030080,0.315724,0.369144,-0.029389,0.343232,-0.016993,0.015273,-0.000764,0.999739,0.134389,-0.068508,0.294819,0.109217,-0.055630,0.287913,0.148631,-0.075149,0.261875,0.145319,-0.074745,0.334667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350019,-0.027322,0.254548,0.347822,-0.030076,0.315785,0.369030,-0.029393,0.343060,0.109366,-0.055706,0.287914,0.148515,-0.075094,0.262106,0.145283,-0.074724,0.334500
