Format Version,1.23,Take Name,Apr17_Sand_No_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 05.15.20.295 PM,Capture Start Frame,7208744,Total Frames in Take,4210,Total Exported Frames,4210,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
130,1.083000,-0.035575,0.156238,-0.014976,0.986965,0.347198,-0.032333,0.218417,0.338751,-0.032231,0.229451,0.358901,-0.028893,0.257513,0.343941,-0.035876,0.168287,0.032478,0.148420,0.004714,0.988380,0.122910,-0.073506,0.208299,0.132185,-0.080721,0.248722,0.097779,-0.061300,0.201343,0.138766,-0.078498,0.174832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338909,-0.032229,0.229306,0.358793,-0.028896,0.257591,0.343823,-0.035875,0.168427,0.132314,-0.080779,0.248691,0.097270,-0.061055,0.201233,0.139173,-0.078706,0.175097
131,1.092000,-0.035434,0.156028,-0.015475,0.986996,0.347172,-0.032370,0.218390,0.338721,-0.032260,0.229420,0.358861,-0.028946,0.257492,0.343935,-0.035904,0.168259,0.032337,0.148015,0.004688,0.988445,0.122940,-0.073524,0.208300,0.132181,-0.080728,0.248733,0.097816,-0.061319,0.201320,0.138824,-0.078526,0.174847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338869,-0.032259,0.229276,0.358759,-0.028949,0.257565,0.343819,-0.035903,0.168409,0.132308,-0.080784,0.248697,0.097260,-0.061054,0.201227,0.139260,-0.078747,0.175089
132,1.100000,-0.035503,0.155934,-0.015757,0.987004,0.347145,-0.032367,0.218384,0.338691,-0.032250,0.229412,0.358827,-0.028940,0.257487,0.343916,-0.035910,0.168252,0.032598,0.148258,0.004864,0.988399,0.122923,-0.073505,0.208294,0.132186,-0.080729,0.248718,0.097792,-0.061303,0.201333,0.138792,-0.078483,0.174831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338851,-0.032248,0.229263,0.358717,-0.028943,0.257567,0.343794,-0.035909,0.168397,0.132317,-0.080787,0.248683,0.097264,-0.061050,0.201229,0.139224,-0.078704,0.175104
133,1.108000,-0.035575,0.156263,-0.016516,0.986936,0.347131,-0.032396,0.218364,0.338685,-0.032263,0.229397,0.358843,-0.028973,0.257459,0.343866,-0.035954,0.168236,0.032476,0.148112,0.005178,0.988424,0.122927,-0.073492,0.208293,0.132182,-0.080704,0.248721,0.097790,-0.061307,0.201322,0.138810,-0.078465,0.174835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338830,-0.032263,0.229244,0.358746,-0.028974,0.257539,0.343760,-0.035952,0.168376,0.132307,-0.080759,0.248682,0.097255,-0.061052,0.201236,0.139255,-0.078690,0.175087
134,1.117000,-0.035793,0.156728,-0.016618,0.986853,0.347109,-0.032403,0.218387,0.338672,-0.032263,0.229429,0.358858,-0.028964,0.257470,0.343795,-0.035982,0.168264,0.032765,0.148233,0.004585,0.988399,0.122941,-0.073527,0.208286,0.132198,-0.080766,0.248709,0.097817,-0.061308,0.201328,0.138807,-0.078506,0.174822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338845,-0.032263,0.229250,0.358757,-0.028964,0.257575,0.343708,-0.035983,0.168354,0.132325,-0.080822,0.248671,0.097263,-0.061043,0.201238,0.139254,-0.078732,0.175071
135,1.125000,-0.035804,0.156868,-0.016932,0.986825,0.347122,-0.032407,0.218404,0.338689,-0.032260,0.229447,0.358884,-0.028970,0.257483,0.343794,-0.035990,0.168282,0.033003,0.147979,0.004681,0.988429,0.122914,-0.073529,0.208278,0.132151,-0.080787,0.248701,0.097792,-0.061309,0.201313,0.138798,-0.078490,0.174819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338850,-0.032261,0.229273,0.358797,-0.028969,0.257591,0.343714,-0.035991,0.168355,0.132280,-0.080845,0.248662,0.097245,-0.061047,0.201219,0.139250,-0.078720,0.175083
136,1.133000,-0.035745,0.156719,-0.015543,0.986874,0.347138,-0.032419,0.218404,0.338702,-0.032302,0.229446,0.358882,-0.028972,0.257487,0.343829,-0.035984,0.168279,0.033196,0.147555,0.004432,0.988487,0.122909,-0.073545,0.208272,0.132108,-0.080822,0.248701,0.097800,-0.061309,0.201290,0.138818,-0.078505,0.174826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338860,-0.032301,0.229276,0.358783,-0.028972,0.257587,0.343744,-0.035983,0.168377,0.132227,-0.080874,0.248661,0.097272,-0.061057,0.201218,0.139260,-0.078728,0.175054
137,1.142000,-0.035641,0.156690,-0.015637,0.986881,0.347128,-0.032416,0.218422,0.338691,-0.032298,0.229463,0.358870,-0.028978,0.257506,0.343823,-0.035971,0.168296,0.032939,0.147564,0.004328,0.988494,0.122913,-0.073555,0.208277,0.132112,-0.080811,0.248709,0.097806,-0.061319,0.201288,0.138821,-0.078535,0.174832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338852,-0.032300,0.229266,0.358790,-0.028976,0.257615,0.343744,-0.035971,0.168382,0.132232,-0.080864,0.248669,0.097260,-0.061059,0.201217,0.139269,-0.078761,0.175059
138,1.150000,-0.035576,0.156612,-0.016401,0.986883,0.347126,-0.032432,0.218426,0.338687,-0.032301,0.229465,0.358865,-0.029007,0.257512,0.343825,-0.035988,0.168300,0.033081,0.147861,0.004194,0.988446,0.122919,-0.073558,0.208291,0.132141,-0.080826,0.248717,0.097811,-0.061313,0.201321,0.138805,-0.078534,0.174836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338847,-0.032301,0.229278,0.358776,-0.029007,0.257616,0.343743,-0.035987,0.168397,0.132265,-0.080882,0.248684,0.097273,-0.061055,0.201226,0.139225,-0.078748,0.175072
139,1.158000,-0.035521,0.156577,-0.015920,0.986898,0.347145,-0.032411,0.218423,0.338705,-0.032290,0.229462,0.358879,-0.028986,0.257511,0.343850,-0.035957,0.168296,0.032771,0.147743,0.004361,0.988473,0.122934,-0.073549,0.208280,0.132149,-0.080790,0.248712,0.097823,-0.061318,0.201297,0.138831,-0.078538,0.174832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338855,-0.032292,0.229275,0.358793,-0.028985,0.257612,0.343768,-0.035956,0.168406,0.132271,-0.080845,0.248676,0.097258,-0.061049,0.201215,0.139268,-0.078758,0.175052
140,1.167000,-0.035367,0.156504,-0.016951,0.986898,0.347161,-0.032404,0.218427,0.338720,-0.032265,0.229464,0.358894,-0.029002,0.257517,0.343870,-0.035944,0.168299,0.032817,0.147896,0.004214,0.988449,0.122928,-0.073547,0.208282,0.132153,-0.080793,0.248710,0.097818,-0.061309,0.201307,0.138813,-0.078539,0.174828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338860,-0.032266,0.229299,0.358808,-0.029002,0.257611,0.343791,-0.035943,0.168401,0.132278,-0.080849,0.248675,0.097261,-0.061042,0.201217,0.139248,-0.078760,0.175062
141,1.175000,-0.035442,0.156500,-0.016651,0.986901,0.347159,-0.032399,0.218413,0.338718,-0.032265,0.229450,0.358891,-0.028988,0.257503,0.343870,-0.035944,0.168285,0.032588,0.147811,0.004690,0.988468,0.122935,-0.073541,0.208283,0.132159,-0.080765,0.248716,0.097815,-0.061330,0.201299,0.138832,-0.078527,0.174835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338863,-0.032266,0.229278,0.358799,-0.028988,0.257595,0.343779,-0.035942,0.168413,0.132281,-0.080820,0.248685,0.097248,-0.061060,0.201212,0.139252,-0.078738,0.175042
142,1.183000,-0.035489,0.156416,-0.016305,0.986919,0.347165,-0.032413,0.218416,0.338722,-0.032286,0.229452,0.358888,-0.028995,0.257508,0.343885,-0.035960,0.168288,0.033139,0.147688,0.004925,0.988466,0.122942,-0.073527,0.208285,0.132158,-0.080795,0.248711,0.097819,-0.061315,0.201308,0.138849,-0.078470,0.174834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338867,-0.032286,0.229286,0.358798,-0.028995,0.257601,0.343801,-0.035959,0.168397,0.132275,-0.080848,0.248685,0.097273,-0.061055,0.201225,0.139246,-0.078668,0.175020
143,1.192000,-0.035565,0.156380,-0.016091,0.986925,0.347153,-0.032406,0.218421,0.338710,-0.032281,0.229456,0.358873,-0.028979,0.257513,0.343878,-0.035958,0.168293,0.032627,0.147917,0.004472,0.988451,0.122922,-0.073543,0.208305,0.132153,-0.080771,0.248735,0.097805,-0.061321,0.201326,0.138809,-0.078536,0.174852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338874,-0.032280,0.229290,0.358767,-0.028980,0.257610,0.343783,-0.035958,0.168400,0.132276,-0.080827,0.248712,0.097273,-0.061065,0.201218,0.139194,-0.078731,0.175069
144,1.200000,-0.035539,0.156546,-0.017002,0.986885,0.347157,-0.032407,0.218413,0.338716,-0.032264,0.229451,0.358893,-0.028992,0.257501,0.343861,-0.035964,0.168286,0.032580,0.147795,0.004261,0.988472,0.122924,-0.073532,0.208287,0.132142,-0.080758,0.248721,0.097814,-0.061301,0.201302,0.138817,-0.078536,0.174839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338868,-0.032265,0.229280,0.358797,-0.028992,0.257595,0.343770,-0.035963,0.168404,0.132261,-0.080811,0.248691,0.097279,-0.061045,0.201216,0.139224,-0.078741,0.175046
145,1.208000,-0.035403,0.156491,-0.016071,0.986914,0.347148,-0.032400,0.218426,0.338706,-0.032279,0.229463,0.358876,-0.028986,0.257517,0.343861,-0.035936,0.168298,0.033020,0.147928,0.004323,0.988437,0.122928,-0.073522,0.208306,0.132157,-0.080785,0.248731,0.097816,-0.061285,0.201338,0.138812,-0.078497,0.174850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338857,-0.032280,0.229274,0.358796,-0.028985,0.257619,0.343784,-0.035935,0.168393,0.132282,-0.080841,0.248708,0.097259,-0.061017,0.201231,0.139207,-0.078697,0.175061
146,1.217000,-0.035569,0.156412,-0.016155,0.986919,0.347167,-0.032382,0.218410,0.338723,-0.032256,0.229446,0.358889,-0.028955,0.257501,0.343888,-0.035935,0.168282,0.032595,0.147934,0.004347,0.988450,0.122927,-0.073543,0.208302,0.132157,-0.080770,0.248733,0.097812,-0.061316,0.201324,0.138811,-0.078543,0.174849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338872,-0.032256,0.229278,0.358796,-0.028955,0.257596,0.343803,-0.035934,0.168388,0.132281,-0.080826,0.248706,0.097261,-0.061051,0.201222,0.139214,-0.078746,0.175067
147,1.225000,-0.035303,0.156604,-0.016772,0.986888,0.347161,-0.032389,0.218424,0.338722,-0.032255,0.229463,0.358901,-0.028990,0.257512,0.343861,-0.035920,0.168296,0.032806,0.147990,0.004411,0.988435,0.122950,-0.073543,0.208277,0.132185,-0.080787,0.248704,0.097834,-0.061315,0.201307,0.138831,-0.078528,0.174821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338870,-0.032257,0.229275,0.358816,-0.028990,0.257613,0.343779,-0.035919,0.168406,0.132310,-0.080844,0.248673,0.097257,-0.061039,0.201212,0.139257,-0.078743,0.175043
148,1.233000,-0.035676,0.156608,-0.015153,0.986900,0.347165,-0.032378,0.218419,0.338727,-0.032270,0.229459,0.358899,-0.028932,0.257506,0.343870,-0.035932,0.168293,0.032743,0.147857,0.004337,0.988457,0.122943,-0.073529,0.208288,0.132167,-0.080769,0.248719,0.097831,-0.061299,0.201310,0.138832,-0.078521,0.174837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338879,-0.032271,0.229283,0.358804,-0.028933,0.257603,0.343781,-0.035931,0.168409,0.132288,-0.080823,0.248689,0.097267,-0.061029,0.201222,0.139246,-0.078728,0.175039
149,1.242000,-0.035292,0.156583,-0.016517,0.986896,0.347163,-0.032415,0.218434,0.338723,-0.032287,0.229473,0.358900,-0.029015,0.257523,0.343865,-0.035943,0.168306,0.032705,0.147838,0.004603,0.988460,0.122940,-0.073543,0.208276,0.132165,-0.080778,0.248707,0.097821,-0.061326,0.201296,0.138834,-0.078526,0.174825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338878,-0.032288,0.229287,0.358811,-0.029015,0.257625,0.343782,-0.035942,0.168412,0.132290,-0.080834,0.248675,0.097259,-0.061057,0.201202,0.139259,-0.078741,0.175053
150,1.250000,-0.035316,0.156349,-0.017121,0.986922,0.347172,-0.032408,0.218435,0.338727,-0.032268,0.229470,0.358893,-0.029012,0.257530,0.343896,-0.035945,0.168306,0.032607,0.147756,0.004668,0.988475,0.122934,-0.073545,0.208298,0.132154,-0.080771,0.248731,0.097815,-0.061333,0.201311,0.138834,-0.078531,0.174850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338890,-0.032268,0.229299,0.358789,-0.029013,0.257629,0.343804,-0.035945,0.168412,0.132279,-0.080828,0.248710,0.097254,-0.061063,0.201200,0.139225,-0.078728,0.175058
151,1.258000,-0.035507,0.156479,-0.016259,0.986909,0.347164,-0.032385,0.218449,0.338722,-0.032258,0.229486,0.358892,-0.028964,0.257539,0.343878,-0.035933,0.168321,0.032916,0.147829,0.004780,0.988454,0.122953,-0.073514,0.208291,0.132180,-0.080765,0.248719,0.097831,-0.061301,0.201316,0.138849,-0.078476,0.174838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338880,-0.032258,0.229308,0.358805,-0.028964,0.257641,0.343798,-0.035933,0.168407,0.132305,-0.080821,0.248689,0.097270,-0.061032,0.201219,0.139268,-0.078688,0.175064
152,1.267000,-0.035560,0.156338,-0.015198,0.986946,0.347178,-0.032379,0.218427,0.338733,-0.032272,0.229462,0.358890,-0.028943,0.257520,0.343910,-0.035922,0.168298,0.032606,0.147769,0.004775,0.988473,0.122957,-0.073551,0.208297,0.132179,-0.080776,0.248730,0.097835,-0.061344,0.201312,0.138858,-0.078532,0.174850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338889,-0.032272,0.229294,0.358790,-0.028944,0.257614,0.343817,-0.035922,0.168413,0.132308,-0.080834,0.248702,0.097260,-0.061068,0.201204,0.139278,-0.078745,0.175084
153,1.275000,-0.035439,0.156542,-0.015943,0.986907,0.347156,-0.032392,0.218430,0.338716,-0.032273,0.229468,0.358888,-0.028974,0.257519,0.343865,-0.035930,0.168302,0.032518,0.147646,0.004803,0.988494,0.122948,-0.073539,0.208305,0.132160,-0.080757,0.248742,0.097827,-0.061335,0.201311,0.138857,-0.078526,0.174862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338869,-0.032272,0.229301,0.358790,-0.028974,0.257614,0.343776,-0.035929,0.168410,0.132278,-0.080810,0.248712,0.097251,-0.061061,0.201232,0.139273,-0.078733,0.175049
154,1.283000,-0.035438,0.156583,-0.015442,0.986908,0.347151,-0.032416,0.218430,0.338712,-0.032306,0.229470,0.358884,-0.028992,0.257519,0.343858,-0.035949,0.168302,0.032595,0.147810,0.004406,0.988469,0.122940,-0.073546,0.208285,0.132161,-0.080773,0.248718,0.097826,-0.061322,0.201300,0.138834,-0.078544,0.174836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338850,-0.032309,0.229285,0.358809,-0.028991,0.257617,0.343782,-0.035948,0.168407,0.132278,-0.080826,0.248690,0.097268,-0.061056,0.201219,0.139240,-0.078747,0.175023
155,1.292000,-0.035335,0.156475,-0.016659,0.986909,0.347165,-0.032405,0.218428,0.338723,-0.032273,0.229465,0.358894,-0.029003,0.257519,0.343878,-0.035940,0.168299,0.032551,0.147690,0.004435,0.988488,0.122960,-0.073543,0.208293,0.132171,-0.080766,0.248729,0.097846,-0.061321,0.201302,0.138861,-0.078542,0.174849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338871,-0.032274,0.229294,0.358802,-0.029003,0.257616,0.343794,-0.035939,0.168404,0.132294,-0.080821,0.248698,0.097270,-0.061045,0.201211,0.139285,-0.078755,0.175061
156,1.300000,-0.035092,0.156570,-0.016839,0.986900,0.347174,-0.032401,0.218428,0.338733,-0.032270,0.229466,0.358911,-0.029020,0.257519,0.343876,-0.035912,0.168298,0.032843,0.147681,0.004932,0.988477,0.122965,-0.073541,0.208320,0.132181,-0.080785,0.248751,0.097842,-0.061336,0.201336,0.138873,-0.078502,0.174872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338878,-0.032271,0.229297,0.358819,-0.029020,0.257609,0.343786,-0.035910,0.168422,0.132305,-0.080840,0.248723,0.097265,-0.061061,0.201240,0.139288,-0.078710,0.175079
157,1.308000,-0.035364,0.156395,-0.016127,0.986930,0.347174,-0.032411,0.218424,0.338731,-0.032289,0.229460,0.358895,-0.029000,0.257518,0.343897,-0.035943,0.168295,0.032997,0.147727,0.004581,0.988467,0.122989,-0.073538,0.208304,0.132204,-0.080797,0.248733,0.097873,-0.061314,0.201326,0.138889,-0.078504,0.174854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338884,-0.032290,0.229286,0.358797,-0.029001,0.257612,0.343803,-0.035941,0.168420,0.132331,-0.080854,0.248708,0.097271,-0.061025,0.201222,0.139303,-0.078712,0.175058
158,1.317000,-0.035434,0.156465,-0.016548,0.986909,0.347166,-0.032409,0.218435,0.338724,-0.032278,0.229472,0.358894,-0.028998,0.257526,0.343881,-0.035952,0.168307,0.032785,0.147629,0.004411,0.988489,0.122977,-0.073533,0.208291,0.132183,-0.080776,0.248724,0.097867,-0.061305,0.201302,0.138882,-0.078519,0.174846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338876,-0.032279,0.229291,0.358808,-0.028997,0.257626,0.343800,-0.035951,0.168405,0.132301,-0.080829,0.248697,0.097281,-0.061026,0.201220,0.139294,-0.078724,0.175026
159,1.325000,-0.035245,0.156523,-0.017089,0.986897,0.347174,-0.032413,0.218433,0.338733,-0.032274,0.229470,0.358909,-0.029023,0.257524,0.343881,-0.035942,0.168304,0.032638,0.147632,0.004523,0.988493,0.122968,-0.073545,0.208291,0.132175,-0.080775,0.248727,0.097854,-0.061325,0.201299,0.138875,-0.078535,0.174848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338865,-0.032277,0.229294,0.358829,-0.029022,0.257615,0.343799,-0.035940,0.168430,0.132293,-0.080828,0.248703,0.097281,-0.061051,0.201213,0.139275,-0.078735,0.175026
160,1.333000,-0.035380,0.156486,-0.016017,0.986916,0.347154,-0.032426,0.218450,0.338712,-0.032306,0.229488,0.358881,-0.029013,0.257542,0.343868,-0.035958,0.168322,0.032739,0.147879,0.004700,0.988452,0.122963,-0.073532,0.208298,0.132192,-0.080768,0.248727,0.097841,-0.061318,0.201321,0.138854,-0.078508,0.174845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338863,-0.032308,0.229297,0.358805,-0.029011,0.257647,0.343792,-0.035958,0.168409,0.132318,-0.080825,0.248696,0.097272,-0.061046,0.201224,0.139277,-0.078722,0.175070
161,1.342000,-0.035332,0.156544,-0.016730,0.986897,0.347169,-0.032434,0.218431,0.338728,-0.032301,0.229469,0.358904,-0.029033,0.257521,0.343874,-0.035968,0.168303,0.032801,0.147644,0.004640,0.988486,0.122974,-0.073528,0.208284,0.132183,-0.080771,0.248717,0.097858,-0.061310,0.201297,0.138881,-0.078504,0.174838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338886,-0.032302,0.229279,0.358815,-0.029032,0.257624,0.343791,-0.035967,0.168406,0.132311,-0.080828,0.248685,0.097286,-0.061037,0.201196,0.139308,-0.078720,0.175071
162,1.350000,-0.035329,0.156736,-0.016737,0.986866,0.347180,-0.032408,0.218431,0.338744,-0.032275,0.229473,0.358930,-0.029008,0.257517,0.343866,-0.035942,0.168305,0.032833,0.147599,0.004739,0.988491,0.122993,-0.073532,0.208311,0.132200,-0.080777,0.248744,0.097875,-0.061318,0.201322,0.138904,-0.078502,0.174866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338868,-0.032278,0.229294,0.358858,-0.029007,0.257609,0.343791,-0.035940,0.168424,0.132322,-0.080832,0.248721,0.097276,-0.061032,0.201226,0.139309,-0.078704,0.175048
163,1.358000,-0.035366,0.156524,-0.015961,0.986912,0.347184,-0.032406,0.218429,0.338743,-0.032287,0.229467,0.358914,-0.028993,0.257520,0.343894,-0.035936,0.168301,0.033049,0.147462,0.004748,0.988504,0.122984,-0.073520,0.208296,0.132179,-0.080782,0.248729,0.097869,-0.061301,0.201306,0.138904,-0.078476,0.174854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338876,-0.032289,0.229297,0.358833,-0.028993,0.257610,0.343814,-0.035935,0.168416,0.132299,-0.080836,0.248695,0.097280,-0.061022,0.201229,0.139337,-0.078692,0.175052
164,1.367000,-0.035506,0.156662,-0.016016,0.986884,0.347168,-0.032406,0.218424,0.338731,-0.032284,0.229464,0.358910,-0.028983,0.257510,0.343864,-0.035951,0.168297,0.032769,0.147476,0.004682,0.988512,0.122965,-0.073532,0.208321,0.132161,-0.080771,0.248758,0.097850,-0.061316,0.201325,0.138883,-0.078508,0.174882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338871,-0.032285,0.229294,0.358822,-0.028984,0.257600,0.343777,-0.035949,0.168422,0.132286,-0.080828,0.248729,0.097284,-0.061045,0.201226,0.139300,-0.078718,0.175102
165,1.375000,-0.035392,0.156505,-0.015632,0.986919,0.347162,-0.032393,0.218431,0.338721,-0.032281,0.229469,0.358889,-0.028975,0.257522,0.343876,-0.035923,0.168303,0.033026,0.147518,0.005119,0.988495,0.122964,-0.073523,0.208301,0.132169,-0.080781,0.248732,0.097839,-0.061323,0.201314,0.138885,-0.078465,0.174857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338867,-0.032282,0.229289,0.358802,-0.028975,0.257620,0.343792,-0.035922,0.168417,0.132291,-0.080835,0.248700,0.097272,-0.061053,0.201227,0.139309,-0.078678,0.175068
166,1.383000,-0.035302,0.156388,-0.016585,0.986925,0.347157,-0.032394,0.218437,0.338713,-0.032264,0.229472,0.358879,-0.028993,0.257531,0.343879,-0.035924,0.168308,0.033157,0.147531,0.004851,0.988490,0.122962,-0.073535,0.208318,0.132164,-0.080805,0.248747,0.097843,-0.061319,0.201334,0.138878,-0.078480,0.174872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338862,-0.032265,0.229301,0.358786,-0.028994,0.257626,0.343792,-0.035923,0.168420,0.132288,-0.080862,0.248729,0.097257,-0.061038,0.201225,0.139270,-0.078676,0.175062
167,1.392000,-0.035263,0.156553,-0.016470,0.986902,0.347175,-0.032399,0.218433,0.338735,-0.032273,0.229472,0.358910,-0.029001,0.257524,0.343881,-0.035924,0.168305,0.033002,0.147752,0.004568,0.988463,0.122949,-0.073528,0.208284,0.132166,-0.080788,0.248712,0.097833,-0.061303,0.201307,0.138847,-0.078494,0.174833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338888,-0.032273,0.229296,0.358817,-0.029001,0.257623,0.343797,-0.035924,0.168408,0.132290,-0.080843,0.248682,0.097271,-0.061034,0.201213,0.139265,-0.078705,0.175052
168,1.400000,-0.035338,0.156644,-0.016022,0.986893,0.347158,-0.032411,0.218428,0.338720,-0.032292,0.229468,0.358898,-0.029002,0.257516,0.343857,-0.035940,0.168300,0.032839,0.147786,0.005006,0.988461,0.122941,-0.073502,0.208289,0.132166,-0.080745,0.248718,0.097814,-0.061301,0.201311,0.138843,-0.078459,0.174839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338857,-0.032294,0.229286,0.358820,-0.029001,0.257613,0.343779,-0.035938,0.168412,0.132295,-0.080802,0.248685,0.097274,-0.061042,0.201208,0.139267,-0.078676,0.175093
169,1.408000,-0.035486,0.156552,-0.015755,0.986906,0.347165,-0.032410,0.218431,0.338726,-0.032293,0.229469,0.358897,-0.028985,0.257520,0.343874,-0.035950,0.168303,0.032953,0.147744,0.004796,0.988465,0.122980,-0.073526,0.208283,0.132199,-0.080780,0.248712,0.097859,-0.061312,0.201305,0.138882,-0.078485,0.174833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338878,-0.032294,0.229281,0.358808,-0.028985,0.257622,0.343790,-0.035949,0.168414,0.132325,-0.080836,0.248686,0.097265,-0.061028,0.201203,0.139295,-0.078693,0.175036
170,1.417000,-0.035139,0.156471,-0.016152,0.986925,0.347146,-0.032426,0.218436,0.338704,-0.032308,0.229473,0.358873,-0.029034,0.257530,0.343862,-0.035936,0.168306,0.032616,0.147722,0.004780,0.988479,0.122935,-0.073547,0.208305,0.132153,-0.080773,0.248739,0.097813,-0.061340,0.201317,0.138838,-0.078528,0.174858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338849,-0.032311,0.229277,0.358795,-0.029033,0.257631,0.343782,-0.035934,0.168418,0.132279,-0.080829,0.248699,0.097257,-0.061074,0.201230,0.139293,-0.078758,0.175110
171,1.425000,-0.035372,0.156440,-0.016989,0.986908,0.347176,-0.032420,0.218421,0.338733,-0.032281,0.229457,0.358904,-0.029018,0.257513,0.343891,-0.035961,0.168293,0.032623,0.147816,0.004352,0.988467,0.122941,-0.073538,0.208305,0.132161,-0.080767,0.248737,0.097828,-0.061310,0.201321,0.138833,-0.078536,0.174856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338879,-0.032282,0.229281,0.358813,-0.029019,0.257606,0.343802,-0.035959,0.168419,0.132284,-0.080822,0.248703,0.097276,-0.061047,0.201234,0.139260,-0.078752,0.175080
172,1.433000,-0.035141,0.156525,-0.016171,0.986916,0.347157,-0.032418,0.218441,0.338716,-0.032300,0.229479,0.358888,-0.029026,0.257533,0.343867,-0.035928,0.168311,0.032672,0.147514,0.004661,0.988509,0.122963,-0.073530,0.208315,0.132162,-0.080761,0.248752,0.097848,-0.061315,0.201318,0.138879,-0.078512,0.174875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338861,-0.032301,0.229304,0.358798,-0.029026,0.257627,0.343779,-0.035926,0.168433,0.132279,-0.080813,0.248723,0.097276,-0.061044,0.201242,0.139291,-0.078718,0.175055
